                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7839,                 4.3217,                 4.2327,                0.00641,                0.06667,                0.01115,                0.00152,                 3.6474,                 4.2751,                 4.1593,                    0.1,                      0,                      0
                      1,                 3.7876,                  4.341,                 4.2301,                0.00641,                0.06667,                0.01115,                0.00152,                 3.6474,                 4.2751,                 4.1587,               0.099099,              9.901e-05,              9.901e-05
                      2,                 4.1084,                 4.3348,                 4.2439,                0.00641,                0.06667,                0.00721,                0.00111,                 3.6457,                 4.2469,                 4.1571,               0.098196,             0.00019604,             0.00019604
                      3,                 3.8823,                 4.3658,                 4.2249,                0.00641,                0.06667,                0.00741,                0.00117,                 3.6458,                 4.2197,                 4.1551,               0.097291,             0.00029109,             0.00029109
                      4,                 3.8436,                 4.2787,                 4.2126,                0.00641,                0.06667,                0.00515,                 0.0011,                 3.6477,                 4.1743,                 4.1519,               0.096384,             0.00038416,             0.00038416
                      5,                  3.573,                  4.261,                 4.2268,                0.00641,                0.06667,                 0.0052,                0.00114,                 3.6477,                 4.1743,                 4.1516,               0.095475,             0.00047525,             0.00047525
                      6,                 4.0337,                 4.2318,                 4.2222,                0.00641,                0.06667,                0.00429,                0.00082,                 3.6507,                 4.1228,                  4.148,               0.094564,             0.00056436,             0.00056436
                      7,                 3.6924,                 4.1218,                 4.1978,                0.00667,                0.06667,                 0.0077,                0.00077,                 3.6458,                 4.0717,                 4.1437,               0.093651,             0.00065149,             0.00065149
                      8,                 4.2034,                 4.1174,                 4.1578,                 0.0068,                0.06667,                0.01297,                 0.0013,                 3.6398,                 4.0012,                 4.1391,               0.092737,             0.00073664,             0.00073664
                      9,                 3.7658,                 4.0295,                 4.1635,                0.00758,                0.06667,                 0.0367,                0.00367,                 3.6366,                 4.0057,                 4.1329,                0.09182,             0.00081981,             0.00081981
                     10,                 3.5326,                 3.9893,                 4.1654,                0.00654,                0.06667,                0.00427,                0.00065,                  3.629,                  3.948,                 4.1278,               0.090901,               0.000901,               0.000901
                     11,                  3.552,                 3.9033,                 4.1551,                0.00654,                0.06667,                0.00392,                 0.0007,                 3.6255,                 3.8885,                 4.1219,                0.08998,             0.00098021,             0.00098021
                     12,                 3.4788,                 3.8649,                 4.1394,                0.00654,                0.06667,                0.00497,                0.00072,                 3.6123,                 3.8335,                 4.1168,               0.089057,              0.0010574,              0.0010574
                     13,                 3.7849,                 3.7977,                 4.1267,                0.00654,                0.06667,                0.00497,                0.00072,                 3.6091,                 3.7727,                  4.112,               0.088133,              0.0011327,              0.0011327
                     14,                 4.0784,                 3.7073,                  4.117,                0.00654,                0.06667,                0.00497,                0.00072,                  3.605,                  3.711,                  4.107,               0.087206,               0.001206,               0.001206
                     15,                 4.2054,                  3.708,                 4.1253,                0.00105,                0.03333,                0.00081,                  8e-05,                 3.5973,                  3.649,                 4.1031,               0.086277,              0.0012772,              0.0012772
                     16,                 3.5583,                 3.6103,                 4.0834,                0.00107,                0.03333,                0.00083,                  8e-05,                  3.598,                 3.6713,                 4.0969,               0.085347,              0.0013466,              0.0013466
                     17,                 4.1097,                 3.5884,                 4.0899,                0.00107,                0.03333,                0.00083,                  8e-05,                  3.598,                 3.6713,                 4.0969,               0.084414,              0.0014139,              0.0014139
                     18,                 3.6746,                 3.5571,                 4.0551,                0.00106,                0.03333,                0.00082,                  8e-05,                 3.5889,                 3.6159,                 4.0923,               0.083479,              0.0014792,              0.0014792
                     19,                 3.7538,                 3.5316,                 4.1262,                0.00106,                0.03333,                0.00082,                  8e-05,                 3.5889,                 3.6159,                 4.0923,               0.082543,              0.0015426,              0.0015426
                     20,                 3.4116,                 3.5808,                 4.0737,                0.00105,                0.03333,                0.00083,                  8e-05,                 3.5831,                 3.5645,                 4.0879,               0.081604,               0.001604,               0.001604
                     21,                 3.2242,                 3.3819,                 4.0655,                0.00105,                0.03333,                0.00083,                  8e-05,                 3.5831,                 3.5645,                 4.0879,               0.080663,              0.0016634,              0.0016634
                     22,                 3.6793,                 3.3863,                 4.0535,                0.00104,                0.03333,                0.00081,                  8e-05,                 3.5774,                 3.5063,                 4.0828,               0.079721,              0.0017208,              0.0017208
                     23,                 3.5168,                 3.4491,                  4.094,                0.00104,                0.03333,                0.00081,                  8e-05,                 3.5774,                 3.5063,                 4.0828,               0.078776,              0.0017763,              0.0017763
                     24,                 3.8532,                 3.3902,                 4.0379,                0.00105,                0.03333,                0.00081,                  8e-05,                   3.57,                 3.5336,                 4.0784,                0.07783,              0.0018298,              0.0018298
                     25,                 3.4767,                 3.4445,                 4.0679,                0.00105,                0.03333,                0.00081,                  8e-05,                   3.57,                 3.5336,                 4.0784,               0.076881,              0.0018812,              0.0018812
                     26,                 3.6116,                 3.3537,                 4.0355,                0.00167,                    0.1,                0.00116,                0.00022,                 3.5666,                 3.4812,                 4.0722,               0.075931,              0.0019308,              0.0019308
                     27,                 3.5649,                 3.3732,                 4.0459,                0.00167,                    0.1,                0.00116,                0.00022,                 3.5666,                 3.4812,                 4.0722,               0.074978,              0.0019783,              0.0019783
                     28,                 3.4305,                 3.4009,                 4.0567,                0.00167,                    0.1,                0.00116,                0.00022,                 3.5619,                 3.5128,                 4.0669,               0.074024,              0.0020238,              0.0020238
                     29,                 3.6844,                 3.3639,                 4.0188,                0.00167,                    0.1,                0.00116,                0.00022,                 3.5619,                 3.5128,                 4.0669,               0.073067,              0.0020674,              0.0020674
                     30,                 3.4859,                 3.4184,                 4.0582,                0.00167,                    0.1,                0.00116,                0.00022,                 3.5576,                 3.4733,                 4.0584,               0.072109,               0.002109,               0.002109
                     31,                 3.4743,                 3.4166,                 4.0322,                0.00167,                    0.1,                0.00116,                0.00022,                 3.5576,                 3.4733,                 4.0584,               0.071149,              0.0021486,              0.0021486
                     32,                 3.4391,                  3.282,                 4.0411,                0.00167,                    0.1,                0.00116,                0.00022,                 3.5483,                 3.5091,                 4.0531,               0.070186,              0.0021862,              0.0021862
                     33,                 3.4848,                  3.196,                 3.9985,                0.00167,                    0.1,                0.00116,                0.00022,                 3.5483,                 3.5091,                 4.0531,               0.069222,              0.0022219,              0.0022219
                     34,                 3.6677,                 3.3238,                 4.0385,                0.00167,                    0.1,                0.00116,                0.00022,                 3.5434,                 3.4759,                  4.047,               0.068256,              0.0022556,              0.0022556
                     35,                 3.7645,                 3.2488,                      4,                0.00167,                    0.1,                0.00116,                0.00022,                 3.5434,                 3.4759,                  4.047,               0.067287,              0.0022873,              0.0022873
                     36,                 3.8064,                 3.2839,                 3.9946,                0.00167,                    0.1,                0.00116,                0.00022,                 3.5392,                 3.5213,                 4.0401,               0.066317,               0.002317,               0.002317
                     37,                 3.6647,                 3.2527,                 4.0043,                0.00167,                    0.1,                0.00116,                0.00022,                 3.5392,                 3.5213,                 4.0401,               0.065345,              0.0023447,              0.0023447
                     38,                 3.7816,                 3.2255,                 3.9781,                0.00167,                    0.1,                0.00116,                0.00022,                  3.534,                 3.4931,                 4.0361,                0.06437,              0.0023704,              0.0023704
                     39,                 3.9137,                 3.1362,                 3.9783,                0.00167,                    0.1,                0.00116,                0.00022,                  3.534,                 3.4931,                 4.0361,               0.063394,              0.0023942,              0.0023942
                     40,                 3.7746,                 3.1138,                 3.9766,                0.00167,                    0.1,                0.00116,                0.00022,                 3.5345,                 3.5419,                 4.0314,               0.062416,               0.002416,               0.002416
                     41,                 3.8388,                 3.1615,                 3.9508,                0.00167,                    0.1,                0.00116,                0.00022,                 3.5345,                 3.5419,                 4.0314,               0.061436,              0.0024358,              0.0024358
                     42,                 3.5337,                  3.153,                  3.931,                0.00167,                    0.1,                0.00116,                0.00019,                 3.5351,                 3.5194,                 4.0267,               0.060454,              0.0024536,              0.0024536
                     43,                 3.2871,                 3.4935,                 4.0696,                0.00167,                    0.1,                0.00116,                0.00019,                 3.5351,                 3.5194,                 4.0267,               0.059469,              0.0024695,              0.0024695
                     44,                 3.8318,                  3.447,                  4.039,                0.00167,                    0.1,                0.00116,                0.00019,                 3.5335,                 3.5091,                 4.0216,               0.058483,              0.0024834,              0.0024834
                     45,                 4.0999,                 3.1334,                 3.9858,                0.00167,                    0.1,                0.00116,                0.00019,                 3.5335,                 3.5091,                 4.0216,               0.057495,              0.0024953,              0.0024953
                     46,                 3.2457,                 3.1628,                 3.9413,                0.00167,                    0.1,                0.00116,                0.00019,                 3.5278,                 3.5692,                 4.0162,               0.056505,              0.0025052,              0.0025052
                     47,                 3.5632,                 3.4078,                 3.9736,                0.00167,                    0.1,                0.00116,                0.00019,                 3.5278,                 3.5692,                 4.0162,               0.055513,              0.0025131,              0.0025131
                     48,                 3.4068,                 3.2056,                 3.9285,                0.00167,                    0.1,                0.00116,                0.00019,                 3.5228,                 3.5673,                   4.01,               0.054519,               0.002519,               0.002519
                     49,                 3.6087,                 3.1639,                 3.9579,                0.00167,                    0.1,                0.00116,                0.00019,                 3.5228,                 3.5673,                   4.01,               0.053523,               0.002523,               0.002523
                     50,                 3.7317,                 3.0258,                 3.9119,                0.00167,                    0.1,                0.00116,                0.00019,                 3.5174,                 3.5578,                  4.004,               0.052525,               0.002525,               0.002525
                     51,                 3.4259,                 3.1745,                 3.9437,                0.00167,                    0.1,                0.00116,                0.00019,                 3.5174,                 3.5578,                  4.004,               0.051525,               0.002525,               0.002525
                     52,                 3.2786,                  3.018,                 3.9286,                0.00167,                    0.1,                0.00116,                0.00019,                 3.5174,                 3.5578,                  4.004,               0.050523,               0.002523,               0.002523
                     53,                 3.5343,                 3.0203,                 3.9491,                0.00167,                    0.1,                0.00116,                0.00018,                  3.511,                 3.5451,                 3.9967,               0.049519,              0.0025191,              0.0025191
                     54,                 3.7113,                 3.0959,                 3.9432,                0.00167,                    0.1,                0.00116,                0.00018,                  3.511,                 3.5451,                 3.9967,               0.048513,              0.0025132,              0.0025132
                     55,                 3.4489,                 3.1477,                 3.9072,                0.00167,                    0.1,                0.00116,                0.00018,                  3.511,                 3.5451,                 3.9967,               0.047505,              0.0025053,              0.0025053
                     56,                 3.4398,                 3.2781,                 3.9558,                0.00167,                    0.1,                0.00116,                0.00018,                 3.5062,                 3.5425,                 3.9903,               0.046495,              0.0024954,              0.0024954
                     57,                 3.6121,                 3.2977,                 3.9693,                0.00167,                    0.1,                0.00116,                0.00018,                 3.5062,                 3.5425,                 3.9903,               0.045483,              0.0024835,              0.0024835
                     58,                 3.5327,                 3.2953,                 3.9893,                0.00167,                    0.1,                0.00116,                0.00018,                 3.5062,                 3.5425,                 3.9903,                0.04447,              0.0024696,              0.0024696
                     59,                 3.3869,                 3.1464,                 3.9242,                0.00111,                0.06667,                 0.0007,                 0.0001,                 3.5025,                 3.5444,                 3.9847,               0.043454,              0.0024538,              0.0024538
